tj,pers
Ӯ гуфт фаластиниҳо бояд битавонанд бар асоси марзҳои соли,او گفت فلسطینی‌ها باید بتوانند بر اساس مرزهای سال
эъломи истиқлол кунанд,اعلام استقلال کنند
Оқои Карзай дар гуфтугӯ бо телевизиюни,آقای کرزی در گفتگو با تلویزیون
Ҷию,جیو
мегӯяд,می‌گوید
инфиъолӣ ва шитобзада,انفعالی و شتابزده
хонд ва гуфт,خواند و گفت
"Поп Жон Пули дувум, ки дар маросими имрӯз тақдис шуд, лаҳистонӣ буд",پاپ ژان پل دوم که در مراسم امروز تقدیس شد لهستانی بود
Ӯ то замони даргузашт дар соли,او تا زمان درگذشت در سال
сол дар мақоми поп калисои котуликро ҳидоят карда буд,سال در مقام پاپ کلیسای کاتولیک را هدایت کرده بود
Ҷош Фитол кӯҳнаварди,جاش فتال کوهنورد
-сола низ қарор аст дар маросими издивоҷ соқдӯш бошад,ساله نیز قرار است در مراسم ازدواج ساقدوش باشد
Селоби рӯзи гузашта дар шимоли Афғонистон боъиси марги дастикам,سیلاب روز گذشته در شمال افغانستان باعث مرگ دست کم
нафар шуд,نفر شد
Малик Абдуллоҳ сенздаҳумин писар дар миёни,ملک عبدالله ، سیزدهمین پسر در میان
писари Малик Абдулазиз буд,پسر ملک عبدالعزیز بود
Аз соли,از سال
ду кишвари Омрико ва Венезуэло сафире дар кишвари ҳам надоранд,دو کشور آمریکا و ونزوئلا سفیری در کشور هم ندارند
"Бар асоси ин гузориш пизишкон, парасторон ва равоншиносон дар",براساس این گزارش ، پزشکان ، پرستاران و روانشناسان در
шиканҷа ва дармонҳои ғайриинсонӣ ва иҳонатомези,شکنجه و درمان‌های غیرانسانی و اهانت آمیز
боздоштиҳо бо артиш ҳамкорӣ кардаанд,بازداشتی‌ها با ارتش همکاری کرده‌اند
Ин рақам ҳамчунин шаш милюн нафар бештар аз соли қабл аз он аст,این رقم ، همچنین شش میلیون نفر بیشتر از سال قبل از آن است
Келӣ Он боптист аз Тринидод ва Тубогу дар макони севум қарор гирифт,کلی آن باپتیست از ترینیداد و توباگو در مکان سوم قرار گرفت
Имсол чанд ширкати бузурги омрикоӣ ҳадафи ҳакерҳо қарор гирифтаанд,امسال چند شرکت بزرگ آمریکایی هدف هکرها قرار گرفته اند
Ин нерӯҳо шомили,این نیروها شامل
нерӯи вижаи фаронсавӣ ҳамроҳ бо сарбозони омрикоӣ ва афғон мешавад,نیروی ویژه فرانسوی همراه با سربازان آمریکایی و افغان می‌شود
Дуъои понкӣ,دعای پانکی
"-ро дар яке аз калисоҳои муҳими Маскав иҷро карданд, дар тобистони",را در یکی از کلیساهای مهم مسکو اجرا کردند ، در تابستان
ба далели,بدلیل
шарорати мубтанӣ бар нафрати мазҳабӣ,شرارت مبتنی بر نفرت مذهبی
дастгир шуданд,دستگیر شدند
Пулис мегӯяд бо шикастани дарҳо тавониста донишомӯзонро фарор диҳад,پلیس می‌گوید با شکستن در‌ها توانسته دانش آموزان را فراری دهد
Ҳилманд оромтарин вилояти ҷанубии Афғонистон аст,هلمند ناآرام‌ترین ولایت جنوبی افغانستان است
"Давлати Устролиё низ дар назар дорад, ки  беш аз як милёрду",دولت استرالیا نیز در نظر دارد که بیش از یک میلیارد و
сохтмони ин марказ ба оташ кашида шуд,ساختمان این مرکز به آتش کشیده شد
"Бино бар натоиҷи аввалия, аҳзоби",بنا بر نتایج اولیه ، احزاب
Эътилоф барои ҷумҳурӣ,ائتلاف برای جمهوری
Демукротики пешрав,دموکراتیک پیشرو
Кунгра барои ҷумҳурӣ,کنگره برای جمهوری
пас аз ҳизби Наҳзат дар маконҳои баъдӣ қарор доранд,پس از حزب نهضت ، در مکان‌های بعدی قرار دارند
Ӯ навишт,او نوشت
Ленин,لنین
Бигузор биафтад,بگذار بیفتد
то он ҷое ки мардум озор набинанд,تا آنجایی که مردم آزار نبینند
нафар дар ин шаҳр кушта шуданд,نفر در این شهر کشته شدند
Дастикам ёздаҳ тан аз мухолифон дар ин даргириҳо кушта шуданд,دست کم یازده تن از مخالفان در این درگیری‌ها کشته شدند
Давлати Исломӣ,دولت اسلامی
зарурист,ضروری است
Бобаки Занҷонӣ яке аз сармоягузорони аршади эронӣ дар Тоҷикистон буд,بابک زنجانی یکی از سرمایه‌گذاران ارشد ایرانی در تاجیکستان بود
"Ҳуқуқи маъмурони пулис, эҷоди маркази пулиси",حقوق ماموران پلیس ، ایجاد مرکز پلیس
Дар миёни кушташудагон ҳафт нафар ҳам аз нерӯҳои пулис ҳастанд,در میان کشته‌شدگان ، هفت نفر هم از نیروهای پلیس هستند
Маросими оташбозӣ низ ба муносибати интиқоли қудрат баргузор шуд,مراسم آتش بازی نیز به مناسبت انتقال قدرت برگزار شد
Ӯ ҳамчунин хоҳони гуфтугӯи мустақими тарфайни даргирӣ дар Укройн шуд,او همچنین خواهان گفت‌و‌گوی مستقیم طرفین درگیری در اوکراین شد
"моҳи май, камтар аз се моҳи дигар баргузор мешавад",ماه می‌، کمتر از سه ماه دیگر برگزار می‌شود
Ду кишвари Қазоқистон ва Узбакистон дар соли,دو کشور قزاقستان و ازبکستان در سال
тамдид карданд,تمدید کردند
Дар Узбакистон баргузории як реферондуми дигар дар соли,در ازبکستان برگزاری یک رفراندوم دیگر در سال
даври севуми раёсати ҷумҳурии Ислом Каримовро то соли,دور سوم ریاست جمهوری اسلام کریم اف را تا سال
тамдид кард,تمدید کرد
Ҳамакнун ҳудуди,هم اکنون حدود
ҳазор сарбози омрикоӣ дар Афғонистон ҳастанд,هزار سرباز آمریکایی در افغانستان هستند
Дар Урупо низ ин рухдод дар кишварҳои шимолии Искондиновӣ дида нашуд,در اروپا نیز این رخداد در کشورهای شمالی اسکاندیناوی دیده نشد
"Ӯ гуфт, ки нерӯҳои давлати Сумолӣ низ дар ин амалиёт ширкат доштанд",او گفت که نیروهای دولت سومالی نیز در این عملیات شرکت داشتند
Тойлонд аз соли,تایلند از سال
Суръати бодҳои тӯфони Несот то,سرعت بادهای توفان نسات تا
килуметр дар соъат гузориш шудааст,کیلومتر در ساعت گزارش‌شده‌است
Луҳонск дар шарқи Укройн ҳанӯз дар кунтрули ҷудоиталабон аст,لوهانسک در شرق اوکراین هنوز در کنترل جدایی‌طلبان است
Онҳо сипас як додгоҳ ва чанд сохтмони давлатиро ба оташ кашиданд,آن‌ها سپس یک دادگاه و چند ساختمان دولتی را به آتش کشیدند
Ин полоишгоҳ замоне,این پالایشگاه زمانی
дарсади нафти мавриди ниёзи Ироқро таъмин мекард,درصد نفت مورد نیاز عراق را تامین می‌کرد
Ин гурӯҳ як моҳ пас аз ташкил шудан амалиётеро дар Ҳалаб анҷом дод,این گروه یک ماه پس از تشکیل شدن عملیاتی را در حلب انجام داد
Ӯ ҳамчунин аз фаро хонда шудани сафири Конодо дар Маскав хабар дод,او همچنین از فراخوانده شدن سفیر کانادا در مسکو خبر داد
Давлати Исломии Ироқ ва Шом,دولت اسلامی عراق و شام
аз даст додааст,از دست داده است
Ҳамзамон бо оғози нишасти сарони кишварҳои узви Гурӯҳи,همزمان با آغاز نشست سران کشورهای عضو گروه
Боздошти оқои Мирондо таҳти қонуни зиддитерурисм анҷом гирифт,بازداشت آقای میراندا تحت قانون ضدتروریسم انجام گرفت
Имсол раъйгириҳо дар беш аз,امسال رای گیری‌ها در بیش از
ҳазор маркази раъйгирӣ анҷом хоҳад шуд,هزار مرکز رای‌گیری انجام خواهد شد
"Дар баъзе аз марокиз, дастгоҳҳои электруникии ахзи раъй насб шудааст",در بعضی از مراکز ، دستگاه‌های الکترونیکی اخذ رای نصب‌شده‌است
Пештар шоеъоте дар бораи эҳтимоли ин боздоштҳо мунташир шуда буд,پیش‌تر شایعاتی درباره احتمال این بازداشت‌ها منتشر‌شده‌بود
Як мақоми масъул дар шаҳри Санҷор,یک مقام مسئول در شهر سنجار
Шингол,شنگال
"дар шимоли ғарби Ироқ гуфт, ки бақоёои",در شمال غرب عراق گفت که بقایای
"мард, зан ва кӯдак дар ин қабри гурӯҳӣ пайдо шудааст",مرد ، زن و کودک در این قبر گروهی پیدا‌شده‌است
Поп Жони бисту сеюм мутаваллид Итолиё буд ва ба,پاپ ژان بیست و سوم متولد ایتالیا‌بود و به
Попи некӯ,پاپ نیکو
"шӯҳрат дошт, аз соли",شهرت داشت ، از سال
то замони даргузашт дар соли,تا زمان درگذشت در سال
раҳбари калисои котулик буд,رهبر کلیسای کاتولیک بود
Ӯ гуфт,او گفت
“Инҳо чи гуна машруъият пайдо карданд,اینها چگونه مشروعیت پیدا کردند
Оё мардуми Либи онҳоро интихоб карданд,آیا مردم لیبی آن‌ها را انتخاب کردند
Оё мардуми Либи онҳоро мансуб карданд,آیا مردم لیبی آن‌ها را منصوب کردند
"Моё Онҷилу, нависанда ва шоъири саршиноси омрикоӣ дар",مایا آنجلو ، نویسنده و شاعر سرشناس آمریکایی ، در
солагӣ даргузашт,سالگی درگذشت
Моҳи пеш беш аз дувист нафар дар хушунатҳои Ироқ кушта шуданд,ماه پیش بیش از دویست نفر در خشونت‌های عراق کشته شدند
"Аз Ироқ гузориш мерасад, ки пайкорҷӯёни Давлати исломии Ироқу Шом",از عراق گزارش می‌رسد که پیکارجویان دولت اسلامی عراق و شام
Доъиш,داعش
кунтрули дувумин шаҳри ин кишварро низ дар даст гирифтаанд,کنترل دومین شهر این کشور را نیز در دست گرفته‌اند
Ин се кишвар масъули бештарин мизони олудагӣ дар ҷаҳон ҳастанд,این سه کشور مسئول بیش‌ترین میزان آلودگی در جهان هستند
Тамдиди амалиёти НОТУ дар Либӣ бо мувофиқати,تمدید عملیات ناتو در لیبی با موافقت
узви ин паймон сурат гирифт,عضو این پیمان صورت گرفت
Парвиз Мушарраф аз соли,پرویز مشرف از سال
Биҷӣ дар шимоли Тикрит ва ҷануби ғарбии шаҳри Киркук қарор дорад,بیجی در شمال تکریت و جنوب غربی شهر کرکوک قرار داد
Дар пайи дастгирии Родувон Короҷич дар соли,در پی دستگیری رادوان کاراجیچ در سال
Ӯ меафзояд,او می‌افزاید
Даргириҳо дар пайи тирандозӣ ба ду офриқоӣ бо туфанги бодӣ шуруъ шуд,درگیری‌ها در پی تیراندازی به دو آفریقایی با تفنگ بادی شروع شد
Фурӯпошии Шуравии собиқ мунҷар ба истиқлоли чаҳордаҳ кишвар шуд,فروپاشی شوروی سابق منجر به استقلال چهارده کشور شد
Баҳои тило барои нахустин бор аз марзи,بهای طلا برای نخستین بار از مرز
дулор дар ҳар унс гузашт,دلار در هر اونس گذشت
Ҳазорон маъмури амниятӣ дар пойтахт мустақар шудаанд,هزاران مامور امنیتی در پایتخت مستقر‌شده‌اند
ҳазор нафар ҳам мубтало ҳастанд,هزار نفر هم مبتلا هستند
Ин як роҳи сода барои кумак ба кунтрули вазн аст,این یک راه ساده برای کمک به کنترل وزن است
"Влодимир Путин имрӯз, панҷшанбеи",ولادیمیر پوتین امروز ، پنجشنبه
Дар ҳамин ҳол бар асоси гузориши хабаргузории кори Эрон,در همین حال بر اساس گزارش خبرگزاری کار ایران
ИЛНО,ایلنا
"Кохи сафед, маҳали кор ва иқоматгоҳи расмии раиси ҷумҳури Омрико аст",کاخ سفید ، محل کار و اقامتگاه رسمی رئیس جمهور آمریکا است
"ЮНИСЕФ, аз кишварҳои ҷаҳон хоста, то бо ин амал мухолифат кунанд",یونیسف ، از کشورهای جهان خواسته تا با این عمل مخالفت کنند
Раъйдиҳандагон истиқболи чандоне аз интихобот накардаанд,رای‌دهندگان استقبال چندانی از انتخابات نکرده اند
"Дар маҷмӯъ, дар иҷрои қавонини ақимсозӣ дар",در مجموع ، در اجرای قوانین عقیم‌سازی در
иёлати Омрико ҳудуди,ایالت آمریکا ، حدود
ҳазор омрикоӣ ақим шуданд,هزار آمریکایی عقیم شدند
Ӯ ҳамчунин нахуствазири мунтахабро ба Вошингтун даъват кард,او همچنین نخست‌وزیر منتخب را به واشنگتن دعوت کرد
"Ӯ гуфт, ки коршиносони ҳавонавардӣ мавзӯъро баррасӣ хоҳанд кард",او گفت که کارشناسان هوانوردی موضوع را بررسی خواهند کرد
Ин шаҳр байни марзи Русия ва бандари калидии Мориупул қарор дорад,این شهر بین مرز روسیه و بندر کلیدی ماریوپول قرار دارد
милюн дулор боҷ хоста буданд,میلیون دلار باج خواسته بودند
Оқои Ғоним ҳамчунин сарпарасти ширкати миллии нафти Либӣ аст,آقای غانم همچنین سرپرست شرکت ملی نفت لیبی است
Раиси ҷумҳурии Афғонистон афзуд,رئیس جمهوری افغانستان افزود
Бентию маркази аслии истихроҷи нафт дар Судони Ҷанубӣ аст,بنتیو مرکز اصلی استخراج نفت در سودان جنوبی است
соъат боздошт шуд,ساعت بازداشت شد
Артиши Укройн дирӯз,ارتش اوکراین دیروز
Оқои Бойден ҳамнгоми тирандозӣ дар манзил набудааст,آقای بایدن هنگام تیراندازی در منزل نبوده است
Ин инфиҷор ду сарбозро захмӣ кард,این انفجار دو سرباز را زخمی کرد
дар Осиё,در آسیا
Манобеъи расмии фурудгоҳ вуқуъи талафотеро гузориш накардаанд,منابع رسمی فرودگاه وقوع تلفاتی را گزارش نکرده اند
Дар ҷараёни даргириҳои ахир дастикам,در جریان درگیری‌های اخیر دست کم
нафар кушта шуданд,نفر کشته شدند
Пас аз озодии Покистон дар соли,پس از آزادی پاکستان در سال
Ин тӯфони яхӣ дар Турунтуро бадтарин дар тайи солҳо мехонанд,این توفان یخی در تورنتو را بدترین در طی سالها می‌خوانند
Эътирозоти рӯзи гузашта дар пайи марги як ҷавони рус буруз кард,اعتراضات روز گذشته در پی مرگ یک جوان روس بروز کرد
Ин шашумин шаби тазоҳурот ва даргирӣ миёни пулис ва мухолифон буд,این ششمین شب تظاهرات و درگیری میان پلیس و مخالفان بود
Бузургтарин тазоҳурот дар шаҳри Модрид баргузор шуд,بزرگ ترین تظاهرات در شهر مادرید برگزار شد
Гузоришҳои ин ҳайъат рӯзи чаҳоршанбе дар Женев мунташир шуд,گزارش‌های این هیات روز چهارشنبه در ژنو منتشر شد
"Зулфиқор Арабуғлу, шаҳрдори Эрҷиш дархости кумак кард",ذوالفقار عرب اغلو شهردار ارجیش درخواست کمک کرد
"Мо ба кумаки фаврӣ ниёз дорем, ба кумакҳои пизишкӣ ниёз дорем",ما به کمک فوری نیاز داریم ، به کمک‌های پزشکی نیاز داریم
Ҳинд ва Афғонистон аз равобити бисёр наздике бархурдоранд,هند و افغانستان از روابط بسیار نزدیکی برخوردارند
Бисёре аз зиндониён дар селулҳои инфиродӣ зиндонӣ шудаанд,بسیاری از زندانیان در سلول‌های انفرادی زندانی‌شده‌اند
"Нахуствазири Ироқ ҳушдор дод, ки",نخست‌وزیر عراق هشدار داد که
дугонагии мазҳабӣ ва байналмилалӣ,دوگانگی مذهبی و بین‌المللی
дар падид омадани гурӯҳи Давлати исломӣ нақш доштааст,در پدید آمدن گروه دولت اسلامی نقش داشته است
Ӯ афзуд,او افزود
Гуфтугӯҳо то замони эъломи натоиҷи ниҳоӣ идома хоҳад дошт,گفتگوها تا زمان اعلام نتایج نهایی ، ادامه خواهد داشت
Ӯ аз Кунгреи Омрико хост,او از کنگره آمریکا خواست
ихтиёрот ва манобеъи лозими дигар барои омӯзиш ва таҷҳизи,اختیارات و منابع لازم دیگر برای آموزش و تجهیز
ҷангҷӯёни мухолиф дар Сурияро фароҳам кунад,جنگجویان مخالف در سوریه را فراهم کند
"Пойгоҳи Лурдес дар наздикии Ҳовоно, пойтахти Кубо, дар",پایگاه لوردس در نزدیکی هاوانا ، پایتخت کوبا ، در
-килуметрии марзи Омрикост,کیلومتری مرز آمریکاست
Нерӯҳои бритониёӣ монанди дигар нерӯҳои НОТУ то поёни соли,نیروهای بریتانیایی مانند دیگر نیروهای ناتو تا پایان سال
Додситони Нишобур гуфта,دادستان نیشابور گفته
аз фармондеҳони собиқи артиши Либӣ,از فرماندهان سابق ارتش لیبی
додгоҳи одилона,دادگاه عادلانه‌ای
барои ӯ баргузор нахоҳад шуд,برای او برگزار نخواهد شد
Ҳамчунин бар асоси ин эъломия аз ҷамъи захмиён,همچنین بر اساس این اعلامیه ، از جمع زخمیان
нафар аз сарбозони НАТО ва ҳудуди,نفر از سربازان ناتو و حدود
нафари дигар аз шаҳрвандони афғон ҳастанд,نفر دیگر از شهروندان افغان هستند
зиндониёни ақидатӣ,زندانیان عقیدتی
қарор медиҳад,قرار می‌دهد
Ӯ ҳамчунин бори дигар хоҳони барқарории оташбас шудааст,او همچنین بار دیگر خواهان برقراری آتش بس‌شده‌است
Муътаризон хоҳони бозгашти оқои Мурсӣ ба қудрат буданд,معترضان خواهان بازگشت آقای مرسی به قدرت بودند
"Ӯ ҳамчунин таъкид кард, ки ӯ худро пирӯзи ин набард медонад",او همچنین تاکید کرد خود را پیروز این نبرد می‌داند
"Интизор меравад, ки шумори паноҳҷӯён дар Олмон аз",انتظار می‌رود که شمار پناهجویان در آلمان از
ҳазор нафар дар соли,هزار نفر در سال
ба ҳудуди,به حدود
ҳазор нафар дар соли ҷорӣ афзоиш ёбад,هزار نفر در سال جاری افزایش یابد
Ин даргирӣ дар вулусволии Вардуҷи вилояти Бадахшон рух додааст,این درگیری در ولسوالی وردوج ولایت بدخشان رخ داده است
Ин мусобиқа танҳо барои шаҳрвандони русӣ баргузор мешавад,این مسابقه تنها برای شهروندان روسی برگزار می‌شود
Давлати Эрон дахолат дар нооромиҳои Туркияро такзиб кард,دولت ایران دخالت در ناآرامی‌های ترکیه را تکذیب کرد
Ҳанӯз ҳувияти ин афрод ва далели кушта шудани онҳо маълум нест,هنوز هویت این افراد و دلیل کشته شدن آن‌ها معلوم نیست
Рӯйдодҳои амниятӣ дар моҳҳои ахир дар Кобул афзоиш ёфтааст,رویدادهای امنیتی در ماه‌های اخیر در کابل افزایش یافته است
мелодӣ бармегардад,میلادی برمی‌گردد
Ин бандар миёни Афғонистону Тоҷикистон мавқеъият дорад,این بندر میان افغانستان و تاجکستان موقعیت دارد
Ғазнӣ аз вилоятҳои ноором дар ҷануби шарқии Афғонистон аст,غزنی از ولایت‌های ناآرام در جنوب شرقی افغانستان است
Ин гурӯҳ дар бархе аз манотиқи виялояти Бағлон нуфуз дорад,این گروه در برخی از مناطق ولایت بغلان نفوذ دارد
Муътаризон парчами Укройнро дар ин маҳал пойин кашиданд,معترضان پرچم اوکراین را در این محل پایین کشیدند
Ӯ пештар волии Урузгон дар маркази Афғонистон будааст,او پیشتر والی اروزگان در مرکز افغانستان بوده است
Раиси Кумитаи Нубели Нурвеж дар ин маросим гуфт,رئیس کمیته نوبل نروژ در این مراسم گفت
Сумолӣ аз соли,سومالی از سال
як давлати мунсаҷими марказӣ надоштааст,یک دولت منسجم مرکزی نداشته است
хабар додааст,خبر داده است
Ин беморӣ аз дариқи танаффус сироят намекунад,این بیماری از طریق تنفس سرایت نمی‌کند
Резиши сохтмон дар ин кишвар низ бидуни собиқа нест,ریزش ساختمان در این کشور نیز بدون سابقه نیست
Дар кишварҳои урупоӣ низ арқоми мушобеҳе ба чашм мехӯрад,در کشورهای اروپایی نیز ارقام مشابهی به چشم می‌خورد
Омрико ва бархе кишварҳои урупоӣ хоҳони озодии оқои Мурсӣ шудаанд,آمریکا و برخی کشورهای اروپایی خواهان آزادی آقای مرسی شده‌اند
Оқои Милибанд гуфт,آقای میلیبند گفت
"Мо мутаваҷеҳем, ки метавон дар ҳукм таҷдиди назар хост",ما متوجهیم که می‌توان در حکم تجدید نظر خواست
Вақте,وقتی
мелодӣ ба Омрико сафар кунанд,میلادی به آمریکا سفر کنند
"Ӯ гуфт, ки бояд дар сиёсатҳои пешини ҷамъиятӣ бознигарӣ шавад",او گفت که باید در سیاست‌های پیشین جمعیتی بازنگری شود
Ҳавопаймои омрикоӣ ва фаронсавӣ низ аз онҳо пуштибонӣ карданд,هوایپماهای آمریکایی و فرانسوی نیز از آن‌ها پشتیبانی کردند
Аммо шикофи амиқ ҳамчунон вуҷуд дорад,اما شکاف عمیق همچنان وجود دارد
Эй вой; намедонистам авзои ин ҷо ин қадар бад аст,‌ای وای ؛ نمی‌دانستم اوضاع این‌جا این‌قدر بد است
Инҳо фақат чанд рӯз ба як хунрезии тамомайёр фосила доранд,این‌ها فقط چند روز با یک خون‌ریزی تمام‌عیار فاصله دارند
аз Мулдовӣ эъломи истиқлол кард,از مولداوی اعلام استقلال کرد
аз ҷамъияти Чин бештар шавад,از جمعیت چین بیشتر شود
рӯзҳои сахтеро,روزهای سختی
Илова бар пулис ва нерӯҳои амниятӣ артиши Покистон ҳам,علاوه بر پلیس و نیروهای امنیتی ، ارتش پاکستان هم
ҳазор нафар хоҳад расид,هزار نفر خواهد رسید
Сайфулараб Қаззофӣ шашумин ва охирин писари сарҳанг Қаззофӣ буд ва,سیف العرب قذافی ششمین و آخرین پسر سرهنگ قذافی‌بود و
сол син дошт,سال سن داشت
Ӯ дар Мунихи Олмон донишҷӯ буд,او در مونیخ آلمان دانشجو بود
Ин пойгоҳ дар наздикии Севастопол воқеъ аст,این پایگاه در نزدیکی سواستوپول واقع است
