tj,pers
адот,ادات
адрас,ادرس
адрес,ادریس
адӯ,عدو
адҳам,ادهم
адъия,ادعیه
адютант,ادیوتنت
аё,ایا
аёдат,عیادت
аёл,عیال
аёлат,عیالت
аён,عیان
аёнӣ,عیانی
аёра,ایاره
аёс,ایاس
аждар,اژدر
аждарҳо,اژدرها
аждаҳо,اژدها
аждаҳоқ,اژدهاک
аждаҳохӯй,یاژدهاخو
ажриқичашм,اژرقیچشم
аз,از
азал,ازل
азала,عضله
азамат,عظمت
азб,عذب
азбасқи,ازبسکه
азбғӯй,عذبگوی
азвоқ,اذواق
аздод,اضداد
аззаваҷалл,عظهوجل
азиз,عزیز
азим,عظیم
азимат,عظیمت
азимӣ,عظیمی
азимӯт,ازیمت
азият,اذیت
азқор,اذکار
азл,عزل
азламӯззолимин,اظلمالظالمین
азм,عزم
азм,عظم
азноб,اذناب
азо,عزا
азоб,عذاب
азодор,عزادار
азодорӣ,عزاداری
азоимхон,عزائمخوان
азоимхонӣ,عزائمخوانی
азон,اذان
азонғӯй,یاذانگو
азохона,عزاخانه
азро,عذرا
азроил,عزرائیل
азрор,اضرار
азӯд,عضد
азӯл,عذول
азҳо,اضحی
аизза,اعزه
аимма,ائمه
ай,ای
айб,عیب
айба,عیبه
айбдор,عیبدار
айбдорқӯнанда,عیبدارکننده
айбдорқӯнӣ,عیبدارکنی
айбдоршаванда,عیبدارشونده
айвон,ایوان
айвонча,ایوانچه
айғоқ,ایغاق
айғоқӣ,ایغاقی
айём,ایام
айзан,ایضا
айлоқ,ایلاق
айман,ایمن
айн,عین
айнақ,عینک
айнақӣ,عینکی
айнан,عینا
айният,عینیت
айнӣ,عینی
айнӯлаён,عینالعیان
айнӯлқамол,عینالکمال
айрон,ایران
айтом,ایتام
айфӯдасарӣ,ایفدهسری
айш,عیش
ақа,اکه
ақадемиқ,اکدمیک
ақадемия,اکدمیه
ақадемиявӣ,اکدمیوی
ақадемӣ,اکدمی
ақақ,اکاک
ақбар,اکبر
ақвариӯм,اکوریوم
ақдар,اکدر
ақдиш,اکدش
ақид,اکید
ақидан,اکیدا
ақидан,اکیدن
аққа,هّعک
аққолбозӣ,البازیّاک
аққолдаста,الدستهّاک
аққорд,اردّاک
аққос,اکاس
аққос,اسّعک
аққосзанӣ,اسزنیّاک
аққосӣ,عکاسی
аққредитив,اکریدتیو
аққӯмӯлятор,اکوملیتار
аққӯмӯляторӣ,اکوملیتاری
ақл,اکل
ақмал,اکمل
ақноф,اکناف
ақо,اکا
ақобир,اکابر
ақр,اکر
ақрам,اکرم
ақрихин,اکرخین
ақробатиқа,اکرابتیکه
ақс,عکس
ақса,عکسه
ақсар,اکثر
ақсаран,اکثرا
ақсарият,اکثریت
ақсент,اکسنت
ақсиз,اکسیز
ақсия,اکسیه
ақсӯлинқилоб,عکسالانقلاب
ақсӯлинқилобӣ,عکسالانقلابی
ақсӯлҳарақат,عکسالحرکت
ақсӯлҳарақатчӣ,عکسالحرکتچی
ақт,اکت
ақтёр,اکتیار
ақтёрӣ,اکتیاری
ақтив,اکتیو
ақтиномитсетҳо,اکتنامیتستها
ақӯстиқа,اکوستیکه
ақӯстиқӣ,اکوستیکی
ақаба,عقبه
ақалл,اقل
ақаллан,اقلا
ақаллиюн,یونّاقل
ақаллият,یتّاقل
ақба,عقبه
ақвом,اقوام
ақвот,اقوات
ақд,عقد
ақдас,اقدس
ақднома,عقدنامه
ақиб,عقب
ақибғардӣ,عقبگردی
ақибнишинӣ,عقبنشینی
ақида,عقیده
ақиқ,عقیق
ақиқа,عقیقه
ақим,عقیم
ақл,عقل
ақлан,عقلا
ақлӣ,عقلی
ақлқӯтоҳ,عقلکتاه
ақлозмой,عقلآزمای
ақлом,اقلام
ақлонӣ,عقلانی
ақоид,عقائد
ақоқиё,عقاقیا
ақориб,اقارب
ақраб,اقرب
ақраб,عقرب
ақрабо,اقربا
ақрон,اقران
ақсар,اقصر
ақсо,اقصی
ақсом,اقسام
ақтаъ,اقطع
алав,الو
алавдон,الودان
алавия,علویه
алавӣ,علوی
алайҳи,علیه
алалҷӯмла,علیالجمله
алам,الم
алам,علم
аламбарор,المبرار
аламноқ,المناک
аламовар,المآور
аламон,المان
аланӣ,علنی
алас,الس
аласт,الست
алатароқ,التراق
алаф,علف
алафғӯндор,علفغندار
алафғӯндорӣ,علفغنداری
алафзор,علفزار
алафмолқӯнӣ,علفمالکنی
алафхор,علفخوار
албатта,البته
албиса,البسه
албоқӣ,الباقی
албом,البام
алвақт,الوقت
алвидоъ,الوداع
алвон,الوان
алвонҷбозӣ,الوانجبازی
алвонҷдиҳӣ,الوانجدهی
алвонҷхӯранда,الوانجخورنده
алвонҷхӯрӣ,الوانجخوری
алвонҷхӯрон,الوانجخوران
алғебрӣ,الگیبری
алғав,الغو
алғов,الغاو
алил,علیل
алилӯлмизоҷ,علیلالمزاج
алим,الیم
алиф,الف
алиф,الیف
алифбоӣ,الفبایی
алифлом,الفلام
алқалоид,الکلائد
алқан,الکن
алқазо,القضا
алқисса,القصه
алқоб,القاب
алла,هّال
аллағӯӣ,هگوییّال
аллақай,کیّال
аллеғро,یگراّال
аллерғия,یرگیهّال
аллом,علام
аллома,علامه
аллотропия,الاتراپیه
аллоф,علاف
аллоҳ,االله
алмос,الماس
алмосӣ,الماسی
ало,الا
алов,الاو
аловғирақ,الاوگیرک
аловӣ,الاوی
аловмон,الاومان
алоиқ,علائق
алоим,علائم
алоӣ,الائی
алоқа,علاقه
алоқачӣ,علاقچی
аломат,علامت
аломатғӯзорӣ,علامتگذاری
алоча,علاچه
алочабоф,الاچهباف
алочабофӣ,الاچهبافی
алочапӯш,الاچهپوش
алочипор,الاچپار
алпинизм,الپینیزم
алсағ,الثغ
алт,الت
алтаф,الطف
алтернатива,التیرنتیوه
алтернативӣ,التیرنتیوی
алтоф,الطاف
алф,الف
алфа,الفه
алфақоҳиш,الفهکاهش
алфанҷидан,الفنجیدن
алфироқ,الفراق
алфоз,الفاظ
алҳазар,الحذر
алҳақ,الحق
алҳамд,الحمد
алҳамдӯлиллоҳ,الحمدالله
алҳол,الحال
алҳон,الحان
алъамон,الامان
алъон,الآن
алюминий,الیومینیی
амад,عمد
амақ,عمک
амақбача,عمکبچه
амақбобо,عمکبابا
амақзода,عمکزاده
амақӣ,عمکی
амақхонд,عمکخواند
амал,عمل
амалан,عملا
амалиёт,عملیات
амалия,عملیه
амалӣ,عملی
амалқард,عملکرد
амбӯлатория,امبلتاریه
амбӯлаторӣ,امبلتاری
амвол,اموال
амвоҷ,امواج
амд,عمد
амдан,عمدا
амзода,عمزاده
амид,عمید
амиқ,عمیق
амиқӣ,عمیقی
амим,عمیم
амин,امین
аминоқислота,امیناکیسلاته
амир,امیر
амирӣ,امیری
амирӯлҳӯҷҷоб,امیرالحجاب
амлаҳӯшшӯаро,املحالشعرا
амлоқ,املاک
амм,عم
амн,امن
амният,امنیت
амниятӣ,امنیتی
амо,عما
амон,امان
амонатдор,امانتدار
амонатниғоҳдор,امانتنگاهدار
амонӣ,امانی
аморат,امارت
аморӣ,عماری
амортизатор,امارتزتار
амортизатсионӣ,امارتزتسیانی
амортизатсия,امارتزتسیه
амоч,اماج
ампер,امپیر
амперметр,امپیرمیتر
амплитӯда,امپلیتوده
ампӯтатсия,امپوتتسیه
амр,امر
амрад,امرد
амрадбозӣ,امردبازی
амрӣ,امری
амроз,امراض
амрӯд,امرود
амсол,امثال
амтиа,امتعه
амӯд,عمود
амӯдан,عمودا
амӯдӣ,عمودی
амфитеатр,امفتاتر
ана,انه
анабиоз,انبئاز
анализатор,انلیزتار
аналитиқӣ,انلیتیکی
анархистӣ,انرخستی
анархия,انرخیه
анархосиндиқализм,انرخاسیندکلیزم
анатом,انتام
анатомӣ,انتامی
анахронизм,انخرانیزم
анба,عنبه
анбарзой,یعنبرزا
анбаринғесӯй,یعنبرینگیسو
анбаринмӯй,یعنبرینمو
анбарӣ,عنبری
анбиё,انبیا
анбиқ,انبیق
анбоз,انباز
анбон,انبان
анбор,انبار
анбордор,انباردار
анбордорӣ,انبارداری
анборӣ,انباری
анбошта,انباشته
анбоштан,انباشتن
анбӯрақ,انبرک
анбӯҳ,انبوه
анбӯҳӣ,انبوهی
анвар,انور
анвор,انوار
анвоъ,انواع
анғ,انگ
анғабин,انگبین
анғақ,انگک
анғал,انگل
анғар,انگر
анғез,انگیز
анғеза,انگیزه
анғезиш,انگیزش
анғехта,انگیخته
анғезон,انگیزان
анғезонидан,انگیزانیدن
анғехтан,انگیختن
анғина,انگینه
анғишт,انگشت
анғлисӣ,انگلیسی
анғоз,انگاز
анғор,انگار
анғора,انگاره
анғоштан,انگاشتن
анғстрем,انگستریم
анғӯбин,انگبین
анғӯдон,انگودان
анғӯр,انگور
анғӯрӣ,انگوری
анғӯшт,انگشت
анғӯшта,انگشته
анғӯштар,انگشتر
анғӯштарӣ,انگشتری
анғӯштғазон,انگشتگزان
анғӯштона,انگشتانه
анғӯштхоӣ,انگشتخائی
анд,اند
андақ,اندک
андақмӯндақ,اندکمندک
андалеб,عندلیب
андар,اندر
андарз,اندرز
андарзнома,اندرزنامه
андарӯн,اندرون
андарӯнӣ,اندرونی
андархӯр,اندرخور
андаряқ,اندریک
анде,اندی
андеша,اندیشه
андешасиғол,اندیشهسگال
андешидан,اندیشیدن
андо,اندا
андова,انداوه
андовағар,انداوهگر
андовақӯнӣ,انداوهکنی
андовачӣ,انداوهچی
андовачӯб,انداوهچوب
андовашӯда,انداوهشده
андовидан,انداویدن
андоз,انداز
андоза,اندازه
андоидан,اندائیدن
андом,اندام
андохт,انداخت
андохта,انداخته
андохтан,انداختن
андохтанӣ,انداختنی
андӯхт,اندوخت
андӯхта,اندوخته
андӯхтан,اندوختن
андӯҳ,اندوه
андӯҳғин,اندوهگین
андӯҳғинӣ,اندوهگینی
андӯҳғӯсорӣ,اندوهگساری
андӯҳноқ,اندوهناک
анзор,انظار
анзӯр,انزور
анид,عنید
аниқӣ,انیقی
анин,انین
анис,انیس
аниф,عنیف
анқабӯт,عنکبوت
анқариб,عنقریب
анқо,عنقا
аннотатсия,اناتتسیه
ано,عنا
анод,اناد
анодил,عنادل
аноӣ,انای
аноқиб,عناکب
аном,انام
анор,انار
анористон,انارستان
анорӣ,اناری
аносир,عناصر
ансоб,انساب
ансор,انصار
ансӯр,انسور
антағонизм,انتگانزم
анти,انت
антибиотиқҳо,انتبئاتکها
антиқа,عنتیقه
антиқафӯрӯш,عنتیقهفروش
антиқафӯрӯшӣ,عنتیقهفروشی
антиқӣ,عنتیقی
антисептиқа,انتسیپتکه
антисиқлон,انتسکلان
антитезис,انتتیزس
антифашист,انتفشست
антоним,انتانیم
антрополоғ,انتراپالاگ
антрополоғия,انتراپالاگیه
анӯд,انود
анӯша,انوشه
анфос,انفاس
анфӯс,انفس
анҳор,انهار
анча,انچه
анчар,انچر
анҷара,انجره
анҷидан,انجیدن
анҷир,انجیر
анҷом,انجام
анҷомидан,انجامیدن
анҷӯдон,انجدان
анҷӯм,انجم
анҷӯман,انجمن
анҷӯх,انجوخ
анҷӯхидан,انجوخیدن
анъана,عنعنه
анъанавӣ,عنعنوی
анъанапараст,عنعنهپرست
анъанапарастӣ,عنعنهپرستی
апа,اپه
апрел,اپریل
ар,ار
араб,عرب
арабӣ,عربی
араз,عرض
аразӣ,عرضی
арақ,عرق
арақӣ,عرقی
арақрезон,عرقریزان
арақчин,عرقچین
арал,ارل
аралаш,ارلش
аранғ,ارنگ
аранғе,ارنگی
арасот,عرصات
арафа,عرفه
араш,ارش
арбада,عربده
арбадаҷӯй,یعربدهجو
арбоб,ارباب
арбобӣ,اربابی
арванд,اروند
арвона,اروانه
арвоҳ,ارواح
арғ,ارگ
арғон,ارگان
арғамчин,ارغمچین
арғамчинбоф,ارغمچینباف
арғамчинбофӣ,ارغمچینبافی
арғамчинтобӣ,ارغمچینتابی
арғамчинфӯрӯш,ارغمچینفروش
арғамчинфӯрӯшӣ,ارغمچینفروشی
арған,ارغن
арғом,ارغام
арғӯвонӣ,ارغوانی
арғӯн,ارغون
арғӯнчақ,ارغنچک
арғӯнчақбозӣ,ارغنچکبازی
ард,ارد
ардам,اردم
ардом,اردام
ардоф,ارداف
аржан,ارژن
арз,ارض
арз,عرض
арз,ارز
арза,عرضه
арзан,ارزن
арзанда,ارزنده
арзанхӯрақ,کارزنخور
арзбар,ارضبر
арзбарӣ,ارضبری
арзёб,ارزیاب
арзёбӣ,ارزیابی
арзиш,ارزش
арзишғӯзорӣ,ارزشگذاری
арзишёбӣ,ارزشیابی
арзишманд,ارزشمند
арзӣ,عرضی
арзӣ,ارضی
арзоқ,ارزاق
арзол,ارذال
арзон,ارزان
арзонӣ,ارزانی
ариза,عریضه
ариқа,اریکه
арин,عرین
арифметиқа,اریفمتیکه
арифметиқӣ,اریفمتیکی
арифмометр,اریفمامتر
ариш,عریش
ария,اریه
арйерғард,ارییرگرد
арқ,ارک
арқон,ارکان
арқам,ارقم
арқом,ارقام
армад,ارمد
арманда,ارمنده
арманӣ,ارمنی
арматӯрбанд,ارمتوربند
арматӯрсозӣ,ارمتورسازی
армон,ارمان
армӯғон,ارمغان
армӯғонӣ,ارمغانی
арнаб,ارنب
ароба,ارابه
ароз,اراز
арозил,اراذل
арпабодиён,ارپهبادیان
арпашолӣ,ارپهشالی
арра,اره
аррода,ادهّعر
арс,ارس
арс,عرص
арса,عرصه
арсалон,ارسلان
артезианӣ,ارتیزئنی
артериосқлероз,ارتیرآسکلیراز
артиқл,ارتیکل
артиллерия,ارتیلیریه
артист,ارتیست
артиш,ارتش
арӯз,عروض
арӯзӣ,عروضی
арӯс,عروس
арӯсақ,عروسک
арӯсӣ,عروسی
арфа,ارفه
архаизм,ارخئزم
архей,ارخیی
археолоғия,ارخیآلاگیه
архив,ارخیو
архитеқтор,ارخیتیکتار
архитеқтӯра,ارخیتیکتوره
арҳам,ارحم
арҳом,ارحام
арча,ارچه
арчанд,ارچند
арчи,ارچه
арҷ,ارج
арҷманд,ارجمند
арҷмандӣ,ارجمندی
арш,عرش
арша,عرشه
аршад,ارشد
аршиён,عرشیان
аршӣ,عرشی
асаб,عصب
асабият,عصبیت
асабӣ,عصبی
асабоният,عصبانیت
асабонӣ,عصبانی
асав,اسو
асад,اسد
асал,عسل
асалақ,عسلک
асамм,اسم
асанн,اسن
асар,اثر
асарбахшӣ,اثربخشی
асарғӯзор,اثرگذار
асарғӯзорӣ,اثرگذاری
асардӯздӣ,اثردوزدی
асарпазирӣ,اثرپزیری
асас,عسس
асаф,اسف
асбоб,اسباب
асбосемент,اسباسمینت
асғар,اصغر
асептиқа,اسیپتیکه
асида,عصیده
асил,اصیل
асилзодағӣ,اصیلزادهگی
асинхронӣ,اسینخرانی
асир,اسیر
асирӣ,اسیری
асқар,عسکر
асқарӣ,عسکری
асқия,اسکیه
асқиябоз,اسکیهباز
асқияғӯӣ,عسکیهگوئی
асқияғӯй,عسکیهگوی
асқиячӣ,عسکیچی
асқол,اثقال
асл,اصل
аслам,اسلم
аслан,اصلا
аслаъ,اصلع
аслиҳа,اسلحه
аслиҳаноқшавӣ,اسلحهناکشوی
аслиҳапартоӣ,اسلحهپرتایی
аслият,اصلیت
аслӣ,اصلی
асло,اصلا
аслоф,اسلاف
асмар,اسمر
асмо,اسما
асно,اثنا
аснод,اسناد
асном,اصنام
асо,عصا
асозанон,عصازنان
асолат,اصالت
асомӣ,اسامی
асорат,اسارت
асос,اساس
асоса,اثاثه
асосан,اساسا
асосӣ,اساسی
асоснома,اساسنامه
асотир,اساطیر
асотирӣ,اساطیری
асп,اسپ
аспа,اسپه
аспақ,اسپک
аспбон,اسپبان
аспбонӣ,اسپبانی
аспвор,اسپوار
аспдавонӣ,اسپدوانی
аспдор,اسپدار
аспдорӣ,اسپداری
аспирант,اسپیرنت
аспирантӯра,اسپیرنتوره
аспирин,اسپیرین
аспӣ,اسپی
аср,عصر
аср,اسر
асрина,عصرینه
асрӣ,عصری
асрор,اسرا
асроромез,اسرارآمیز
ассалом,السلام
ассимилятсия,اسیمیلیتسیه
ассистент,اسیستنت
ассор,عصار
ассотсиатсия,اساتسئتسیه
аст,است
аста,استه
астағфирӯллоҳ,استغفراالله
астар,استر
астарбор,استربار
астарборӣ,استرباری
астардор,استردار
астероидҳо,استرائدها
астролоғия,استرالاگیه
астрофизиқа,استرافزیکه
асфалтпӯш,اسفلتپوش
асфар,اصفر
асфо,اصفی
асҳоб,اصحاب
асъад,اسعد
асъор,اسعار
атбоъ,اتباع
атвор,اطوار
атиббо,اطبا
атиқ,عتیق
атиқа,عتیقه
атиқӣ,عتیقی
атлас,اطلس
атласӣ,اطلسی
атмосфера,اتماسفیره
ато,عطا
атобақ,اتابک
атобақон,اتابکان
атобахш,عطابخش
атола,اتاله
атолапазӣ,اتالهپزی
атолахӯр,اتالهخور
атом,اتام
атомӣ,اتامی
аторӯд,عطارد
атр,عطر
атрафшон,عطرافشان
атрафшонӣ,عطرافشانی
атриёт,عطریات
атрӣ,عطری
атроғин,عطرآگین
атроқ,اتراک
атроф,اطراف
атрофиён,اطرافیان
атрпошақ,عطرپاشک
атрсозӣ,عطرسازی
атса,عطسه
атташе,اتشی
аттестат,اتیستت
аттестатдиҳӣ,اتیستتدهی
аттестатсионӣ,اتیستتسیانی
аттестатсия,اتیستتسیه
аттор,عطار
атторӣ,عطاری
атф,عطف
атфол,اطفال
аӯдиторӣ,ائودتاری
аӯқсион,ائوکسیان
афандӣ,افندی
афв,عفو
афвнопазир,عفوناپزیر
афвот,افوات
афвоҳ,افواه
афвоҷ,افواج
афвпазирӣ,عفوپزیری
афғандан,افگندن
афғона,افگانه
афғор,افگار
афғон,افغان
афғонӣ,افغانی
афзал,افضل
афзалӣ,افضلی
афзоиш,افزایش
афзор,افزار
афзоянда,افزاینده
афзӯда,افزوده
афзӯн,افزون
афзӯнӣ,افزونی
афин,عفن
афиф,عفیف
афифа,عفیفه
афқор,افکار
афлоқ,افلاک
афлоқӣ,افلاکی
афлотӯнӣ,افلاتونی
афозил,افاضل
афоризм,افاریزم
афрод,افراد
афроз,افراز
афрохтан,افراختن
афроштан,افراشتن
афрӯзон,افروزان
афрӯхта,افروخته
афрӯхтан,افروختن
афсад,افسد
афсар,افسر
афсарӣ,افسری
афсаҳ,افصح
афсона,افسانه
афсонавӣ,افسانوی
афсонавор,افسانوار
афсонағӣ,افسانگی
афсор,افسار
афсорғӯсехта,افسارگسیخته
афсӯн,افسون
афсӯнғар,افسونگر
афсӯнғарӣ,افسونگری
афсӯрда,افسرده
афсӯрдағӣ,افسردگی
афсӯрдан,افسردن
афсӯрдарӯй,یافسردهرو
афсӯс,افسوس
афсӯсхӯрона,افسوسخورانه
афт,افت
афтасӣ,افطسی
афтидан,افتیدن
афтидамонда,افتیدهمانده
афтиш,افتش
афтода,افتاده
афтодағӣ,افتادگی
афтон,افتان
афтондан,افتاندن
афтонидан,افتانیدن
афтӯдарафт,افتودرفت
афҳом,افهام
афча,افچه
афшон,افشان
афшӯрда,افشورده
афшӯрдағом,افشوردهگام
афшӯрдан,افشوردن
афъол,افعال
афюн,افیون
афюнӣ,افیونی
ах,اخ
ахавон,اخوان
ахбор,اخبار
ахғар,اخگر
ахғӯл,اخگل
ахёр,اخیار
ахз,اخذ
ахир,اخیر
ахиран,اخیرا
ахлоқ,اخلاق
ахлоқан,اخلاقا
ахлоқиёт,اخلاقیات
ахлоқӣ,اخلاقی
ахлот,اخلات
ахлотқашонӣ,اخلاتکشانی
ахлотпартоӣ,اخلاتپرتائی
ахлотрезӣ,اخلاتریزی
ахлоттӯда,اخلاتتوده
ахлотхона,اخلاتخانه
ахлоф,اخلاف
ахраб,اخرب
ахрам,اخرم
ахта,اخته
ахтар,اختر
ахтарбин,اختربین
ахтарғӯй,یاخترگو
ахтарӣ,اختری
ахтаршинос,اخترشناس
ахтаршиносӣ,اخترشناسی
ахтор,اخطار
ахфаш,اخفش
ахш,اخش
ахшеҷ,اخشیج
ахшеҷон,اخشیخان
аҳад,احد
аҳадият,احدیت
аҳамм,اهم
аҳамият,اهمیت
аҳбоб,احباب
аҳвал,احول
аҳвар,احور
аҳват,احوط
аҳвол,احوال
аҳд,عهد
аҳднома,عهدنامه
аҳдоб,اهداب
аҳдос,احداث
аҳдшиқан,عهدشکن
аҳдшиқанӣ,عهدشکنی
аҳдшиқанона,عهدشکنانه
аҳён,احیان
аҳёнан,احیانا
аҳқом,احکام
аҳл,اهل
аҳлият,اهلیت
аҳлӣ,اهلی
аҳмақ,احمق
аҳмақӣ,احمقی
аҳмақона,احمقانه
аҳмар,احمر
аҳодис,احادیث
аҳолӣ,اهالی
аҳор,اهار
аҳраман,اهرمن
аҳреман,اهریمن
аҳриман,اهریمن
аҳром,اهرام
аҳрор,احرار
аҳсан,احسن
аҳсант,احسنت
аҷаб,عجب
аҷабо,عجبا
аҷал,اجل
аҷала,عجله
аҷам,عجم
аҷамӣ,عجمی
аҷдод,اجداد
аҷдодӣ,اجدادی
аҷз,عجز
аҷзо,اجزا
аҷиб,عجیب
аҷир,اجیر
аҷириқзор,اجیرقزار
аҷнабӣ,اجنبی
аҷнос,اجناس
аҷобат,عجابت
аҷобатанғез,عجابتانگیز
аҷоиб,عجائب
аҷолат,عجالت
аҷониб,اجانب
аҷр,اجر
аҷром,اجرام
аҷсод,اجساد
аҷсом,اجسام
аҷӯзқампир,عجوزکمپیر
аҷӯл,عجول
аҷӯлона,عجولانه
ашадд,اشد
ашан,اشن
ашақа,اشقه
ашғол,اشغال
ашё,ئاشیا
ашир,عشیر
ашқ,اشک
ашқбор,اشکبار
ашқол,اشکال
ашқониён,اشکانیان
ашқӯб,اشکوب
ашоир,عشایر
ашраф,اشرف
ашрафӣ,اشرفی
ашрор,اشرار
ашроф,اشراف
аштақӣ,اشتقی
ашӯлағӯӣ,اشولهگوئی
ашӯлахон,اشولهخوان
ашӯлахонӣ,اشولهخوانی
ашӯлачӣ,اشولهچی
ашхос,اشخاص
ашҳар,اشهر
ашҷор,اشجار
ашшор,ارّاش
ашъор,اشعار
аъвар,اعور
аъвон,اعوان
аъдо,اعدا
аъдод,اعداد
аъён,اعیان
аъзам,اعظم
аъзо,اعضا
аълам,اعلم
аъламӣ,اعلمی
аълом,اعلام
аълоҳазрат,اعلیحضرت
аъмо,اعمی
аъмоқ,اعماق
аъмол,اعمال
аъроб,اعراب
аъробӣ,اعرابی
аъроф,اعراف
аъсоб,اعصاب
аъҷӯба,اعجوبه
аъшор,اعشار
аъшорӣ,اعشاری
аэродинамиқа,ائرادینمیکه
аэродром,ائرادرام
аэрозол,ائرازال
аэронавиғатсия,ائرانویگتسیه
аэронавтиқа,ائرانوتیکه
аэроплан,ائراپلن
аэропорт,ائراپارت
аэростат,ائراستت
абрешим,ابریشم
абрешӯм,ابریشم
адӯвв,عدو
аёр,ایار
анф,عنف
арғач,ارغچ
арғич,ارغچ
арғӯвон,ارغوان
арғавон,ارغوان
арғӯнӯн,ارغنون
арғанӯн,ارغنون
аспарағм,اسپرغم
аспарғам,اسپرغم
афъӣ,افعی
афъо,افعی
абзол,ابزال
азоим,عزایم
азоим,عزائم
асноф,اصناف
асотин,اساطین
асотин,اساتین
асрат,عثرت
асрат,عثره
афрӯзонидан,افروزانیدن
афшонидан,افشاندن
ашират,عشیرت
ашират,عشیر
аъло,اعلا
аъло,اعلی
аблӯч,ابلوج
аблӯч,ابلوچ
аблӯҷ,ابلوج
аблӯҷ,ابلوچ
абрӯ,ابروی
абрӯ,ابرو
абрӯй,ابروی
абрӯй,ابرو
абҷил,ابجیر
