Tajik,Persian,Prediction,Levenshtein_ratio
накӯаҳволӣ,نکو‌احوالی,نکو‌احوالی,1.0
хоҳарӣ,خواهری,خواهری,1.0
пуриштиҳо,پر‌اشتها,پر‌اشتها,1.0
сар бибуранд,سر ببرند,سر ببرند,1.0
сангинҷон,سنگین‌جان,سنگی‌نجان,0.8888888888888888
бомба,با‌مبه,با‌مبه,1.0
пурфиреб,پر‌فریب,پر‌فریب,1.0
гарчи андар парвариш тан модар аст,گرچه اندر پرورش تن مادرست,گرچه اندر پرورش تن مادرست,1.0
афвҳо ҳар шаб аз ин дилпораҳо,عفوها هر شب ازین دل‌پاره‌ها,عفوها هر شب ازین دل‌پاره‌ها,1.0
ҳама шаҳр з-овои ҳиндидарой,همه شهر ز آوای هندی درای,همه شهر زآوای هندی درای,0.9787234042553191
харитакаш,خریطه‌کش,خریطه‌کش,1.0
рӯбаҳак хӯрд он ҷигарбанду дилаш,روبهک خورد آن جگربند و دلش,روبهک خورد آنجگر بند و دلش,0.9615384615384616
аз куҷо нӯшам ки набвад он вубол,از کجا نوشم که نبود آن وبال,از کجا نوشم که نبود آن وبال,1.0
бадсулук,بد‌سلوک,بد‌سلوک,1.0
балъами боъуру иблиси лаъин,بلعم باعور و ابلیس لعین,بلعم باعور و ابلیس لعین,1.0
сурати барҳам задан аз ҷисми танг,صورت بر هم زدن از جسم تنگ,صورت برهم زدن از جسم تنگ,0.9795918367346939
хабарнигори би-би-сӣ ҳамчунин афзуд охирин бор дар соли,خبرنگار بی‌بی سی همچنین افزود آخرین بار درسال,خبرنگار بی‌بی سی همچنین افزود آخرین بار در سال,0.989010989010989
дигар раҳ-ш пурсид гурди далер,دگر رهش پرسید گرد دلیر,دگر ره ش پرسید گرد دلیر,0.9777777777777777
ту нагаштӣ сер з-онҳо дар заман,تو نگشتی سیر زانها در زمن,تو نگشتی سیر زانها در زمن,1.0
сукр,سکر,سکر,1.0
зан,زن,زن,1.0
мераҳанд арвоҳ ҳар шаб з-ин қафас,می‌رهند ارواح هر شب زین قفس,می‌رهند ارواح هر شب زین قفس,1.0
ин ниҳод гуфтааст ки барои таҳияи ин гузориш бо,این نهاد گفته است که برای تهیه این گزارش با,این نهاد گفته است که برای تهیه این گزارش با,1.0
ҳам замини тор беболида нест,هم زمین تار بی‌بالیده نیست,هم زمین تار بی‌بالیده نیست,1.0
луқмапартоӣ,لقمهپرتای,لقمه‌پرتائی,0.9
фасли ӯ дармони васле мебувад,فصل او درمان وصلی می‌بود,فصل او درمان وصلی می‌بود,1.0
битарс аз худо в-он ҷаҳонро бикӯш,بترس از خدا وآن جهان را بکوش,بترس از خدا و آن جهان را بکوش,0.9824561403508771
масҳифурӯш,مسحیفروش,مسحیفروش,1.0
ганҷи одам чун ба вайрон буд дафин,گنج آدم چون بویران بد دفین,گنج آدم چون بویران بد دفین,1.0
ки мардум кашидандӣ аз бора зер,که مردم کشیدندی از باره زیر,که مردم کشیدندی از باره زیر,1.0
бодоварда,بادآورده,با‌داورده,0.8235294117647058
гуфт шарме дор эй кӯтаҳнамад,گفت شرمی دار‌ای کوته‌نمد,گفت شرمی دار‌ای کوته نمد,0.9583333333333334
ҳар кӣ шаб гардад в-агар хеши ман аст,هر که شب گردد وگر خویش منست,هر که شب گردد وگر خویش منست,1.0
натобад бимонад ғами ман дароз,نتابد بماند غم من دراز,نتابد بماند غم من دراز,1.0
сибён,صبیان,سبیان,0.8
ин васат бар бониҳоят меравад,این وسط در با نهایت می‌رود,این وسط بر بانهایت می‌رود,0.9411764705882353
то наояд бар ман ин анҷоми бад,تا نه آید بر من این انجام بد,تا نه آید بر من این انجام بد,1.0
бонг мезад к-эй амир охир чаро,بانگ می‌زد کای امیر آخر چرا,بانگ می‌زد کای امیر آخر چرا,1.0
шудӣ ғарқа ғаввос дар ҷоми ӯ,شدی غرقه غواص در جام او,شدی غرقه غواس در جام او,0.9565217391304348
бемаврид,بیمورد,بی‌مورد,0.9230769230769231
бибуд рӯз то рӯсияҳ гашт хур,ببد روز تا رو سیه گشت هور,ببود روز تا روسیه گشت خر,0.8979591836734694
падидашиносӣ,پدیده‌شناسی,پدیده‌شناسی,1.0
чашмгуруснагӣ,چشم‌گرسنگی,چشم‌گرسنگی,1.0
ишқашон аз мулк бирбуду табор,عشقشان از ملک بربود و تبار,عشقشان از ملک بربود و تبار,1.0
то набошанд аз ҳасад деви раҷим,تا نباشند از حسد دیو رجیم,تا نباشند از حسد دیو رجیم,1.0
молпарвар,مال‌پرور,مال‌پرور,1.0
ман як масеҳӣ ҳастам ва ҳиҷ вақт муртакиби иртидод нашудаам,من یک مسیحی هستم و هیچوقت مرتکب ارتداد نشده‌ام,من یک مسیحی هستم و هج وقت مرتکیب ارتید نشده‌ام,0.9130434782608696
гуфт обаш деҳ валекин ширгарм,گفت آبش ده ولیکن شیر گرم,گفت آبش ده ولیکن شیرگرم,0.9787234042553191
гуфт пайғамбар ки ҳақ фармудааст,گفت پیغامبر که حق فرموده است,گفت پیغامبر که حق فرموده است,1.0
одамӣ фарбеҳ зи изз асту шараф,آدمی فربه ز عزست و شرف,آدمی فربه ز عزست و شرف,1.0
нигоҳ,نگاه,نگه,0.8571428571428572
маҳ дар фазо чу қосае дар байни об буд,مه در فضا چوکاسه‌ای در بین آب بود,مه در فزا چو قاسه‌ای در بین آب بود,0.9253731343283582
баандешагӣ,ب‌اندیشگی,باندیش‌گی,0.8888888888888888
ҳама чок зад пардаи заррбафт,همه چاک زد پرده زربفت,همه چاک زد پردهٔ زر بفت,0.9545454545454546
мор кушт он дузди ӯро зори зор,مار کشت آن دزد او را زار زار,مار کشت آن دزد او را زار زار,1.0
чу парранда мурғу чу киштӣ бар об,چو پرنده مرغ و چو کشتی برآب,چو پرنده مرغ و چو کشتی بر آب,0.9818181818181818
в-арна дастанбӯйи ман будӣ табар,ورنه دستنبوی من‌بودی تبر,ورنه دستن‌بوی من بدی,0.8181818181818181
ҳавасангез,هوس‌انگیز,هوس‌انگیز,1.0
ҳам аз ҳар се аркон зи чархи баланд,هم از هر سه ارکان ط چرخ بلند,هم از هر سه ارکان ز چرخ بلند,0.9642857142857143
гар табиберо расад з-ин гун ҷунун,گر طبیبی را رسد زین گون جنون,‌گر طبیبی را رسد زین گن جنون,0.9642857142857143
пурмаломат,پر‌ملامت,پر‌ملامت,1.0
офарин бар дасту бар бозуи ту,آفرین بر دست و بر بازوی تو,آفرین بر دست و بر بازوی تو,1.0
ифтихормандона,افتخار‌مندانه,افتخار‌مندانه,1.0
рӯянранг,روین‌رنگ,روین‌رنگ,1.0
др мавриди раъйи эътимод ба нахуствазири муваққат тасмимгирӣ кунад,در مورد رای اعتماد به نخست‌وزیر موقت تصمیم‌گیری کند,در مورد رای ائتماد به نخست‌وزیر موقت تصمیم‌گیری کند,0.9803921568627451
беоила,بی‌عائله,بی‌عله,0.8571428571428572
зи савганду паймон нигар нагзарӣ,ز سوگند و پیمان نگر نگذری,ز سوگند و پیمان نگذری,0.9130434782608696
даст мезад баҳри манъаш бар даҳон,دست می‌زند بهر منعش بر دهان,دست می‌زد بهر منعش بر دهان,0.9811320754716981
дар ту то кофӣ бувад аз кофирон,در تو تا کافی‌بود از کافران,در تو طا کافی‌بود از کافران,0.962962962962963
не ки моро дасти фазлаш коштаст,نی که ما را دست فضلش کاشتست,نی که ما را دست فضلش کاشتست,1.0
тарки молу мулк кард ӯ ончунон,ترک مال و ملک کرد او آن چنان,ترک مال و ملک کرد او آنچنان,0.9818181818181818
кӯтоҳпашм,کوتاه‌پشم,کوتاه‌پشم,1.0
хӯрҷин,خورجین,خور‌جین,0.9230769230769231
дид шайтон аз малоик испаҳе,دید شیطان از ملایک اسپهی,دید شیطان از ملایک اسپهی,1.0
ғави кӯсу нойи набардӣ бихост,غو کوس و نای نبردی بخاست,غو کوس و نای نبردی بخواست,0.9795918367346939
ман шикастам з-амр то шуд рез-рез,من شکستم ز امر تا شد‌ریز ریز,من شکستم ز امر تا شد ریز ریز,0.9642857142857143
ба кӯй - андарун теғу тири ҳаданг,به کوی اندرون تیغ و تیر و خدنگ,به کوی اندرون تیغ و تیر هدنگ,0.9310344827586207
фиристодаи зол бошад дуруст,فرستادهٔ زال باشد درست,فرستادهٔ زال باشد درست,1.0
ин чӣ ношукриву чӣ бебокӣ аст,این چه ناشکری و چه بی‌باکیست,این چه ناشکری و چه بی‌باکیستست,0.9655172413793104
барҷастатабъ,برجسته‌طبع,برجسته‌طبع,1.0
муталаввин,متلون,متلون,1.0
чунин гуфт к-оғози гетӣ дуруст,چنین گفت کآغاز گیتی درست,چنین گفت کآغاز گیتی دو رست,0.96
чунин то ба назди баҳушон зи ҷой,چنین تا به نزد بهوشان ز جای,چنین تا به نزد بهوشان ز جای,1.0
рӯйпӯшӣ,رو‌پوشی,روی‌پوشی,0.9333333333333333
ки бар ҷойи ҷон аст гӯяд чу ҳаст,که برجای جانست گوید چو هست,که بر جای جانست گوید چو هست,0.9811320754716981
он ки баҳри худ занад ӯ зомин аст,آنک بهر خود زند او ضامنست,آنک بهر خود زند او ذامنست,0.96
баҳри ёрӣ мор ҷӯяд одамӣ,بهر یاری مار جوید آدمی,بهر یاری مار جوید آدمی,1.0
в-ар ба илм оем он айвони ӯст,ور به علم آییم آن ایوان اوست,ور به علم آییم آن عیوان اوست,0.9642857142857143
ёдгорам ҳаст дар хоб иртиҳол,یادگارم هست در خواب ارتحال,یادگارم هست در خواب ارطهال,0.9230769230769231
бар кафанталбу ватанталбандаҳо бахшиду дод,برکفن‌طلب و وطن طلبنده‌ها بخشید و داد,بر کفنتلب و وطنتلبنده‌ها بخشید و داد,0.904109589041096
менамояд нур нору нор нур,می‌نماید نور نار و نار نور,می‌نماید نور نار و نار نور,1.0
чӣ меҳр афканӣ бар тану ин ҷаҳон,چه مهر افکنی بر تن و این جهان,چه مهر افکنی بر تن و این جهان,1.0
ҳамон дев к-аш манҳарос аст ном,همان دیوکش منهراس است نام,همان دیو کش منهراس است نام,0.9803921568627451
трожедӣ,تراژدی,تراژیدی,0.9230769230769231
ниҳода зи куҳ дида бар тарги ӯй,نهاده ز که دیده بر ترگ اوی,نهاده ز که دیده بر ترگ اوی,1.0
ақтиния,اکت‌نیه,اکت‌نیه,1.0
ботаник,بات‌نیک,با‌تنیک,0.8571428571428572
конус,کانوس,کانوس,1.0
буҳрон бар сари истиқрори мушакҳои шӯравӣ дар кубо ки соли,بحران بر سر استقرار موشک‌های شوروی در کوبا که سال,بهران بر سر استقرار مشک‌های شوروی در کبا که سال,0.9583333333333334
коняк,کان‌یک,کانک,0.8
нафар ҷони худро аз даст доанд,نفر جان خود را از دست داده‌اند,نفر جان خود را از دست داه‌ند,0.9655172413793104
парчамӣ,پرچمی,پر‌چمی,0.9090909090909091
гоҳ бадзан мешудӣ андар дуъо,گاه بدظن می‌شدی اندر دعا,گاه بدزن می‌شدی اندر دعا,0.9583333333333334
к-ин тараф донаст ё худ домгоҳ,کین طرف دانه‌ست یا خود دامگاه,کین طرف دانه‌ست یا خود دامگاه,1.0
надид андар он чора аз ҳеч сӯ,ندید اندر آن چاره از هیچ سو,ندید اندر آنچاره از هیچ سو,0.9811320754716981
аз нерӯҳои низомии кишвараш аз марзи укройнро содир кардааст,از نیروهای نظامی کشورش از مرز اوکراین را صادر کرده است,از نیروهای نظامی کشورش عز مرز اوکراین را سادر کرده است,0.962962962962963
пандтӯз,پند‌توز,پند‌توز,1.0
ин замон дар ишқу андар доми туст,این زمان در عشق و اندر دام تست,این زمان در عشق و اندر دام تست,1.0
саман,سمن,سمن,1.0
замона рабудаш чу беҷода коҳ,زمانه ربودش چو بیجاده کاه,زمانه ربودش چو بیجاده کاه,1.0
бар эшон ба ҳар хашм мафрӯз чеҳр,برایشان به هر خشم مفروز چهر,برایشان به هر خشم مفروز چهر,1.0
ҳамош,هماش,هماش,1.0
ту гуфтӣ танг буд магар чархи моҳ,تو گفی تنی بد مگر چرخ ماه,تو گفتی تنگ بد مگر چرخ ماه,0.9411764705882353
бош киштибон дар ин баҳри сафо,باش کشتیبان درین بحر صفا,باش کشتیبان درین بحر صفا,1.0
ки ба болои ту омад чун капӣ,که به بالای تو آمد چون کپی,که به بالای تو آمد چون کپی,1.0
бифармуд к-имрӯз дил шодком,بفرمود کامروز دل شادکام,بفرمود کامروز دل شادکام,1.0
болвоя,بال‌وایه,بالوای‌ه,0.875
бозкӯшидан,باز‌کوشیدن,باز‌کوشیدن,1.0
гар ба дандонаш газӣ пурхун кунӣ,‌گر بدندانش گزی پر خون کنی,گر به دندانش گزی پر خون کنی,0.9433962264150944
сипоҳу сипаҳбад аз он кор шод,سپاه و سپهبد از آن کار شاد,سپاه و سپهبد از آن کار شاد,1.0
ба пой - андар афканду биспард хор,به پای اندر افگند و بسپرد خوار,به پای اندر افکند و بسپرد خار,0.9491525423728814
фархаша,فرخشه,فرخشه,1.0
мондаам дар нафқаи фарзанду зан,مانده‌ام در نفقهٔ فرزند و زن,مانده‌ام در نفقهٔ فرزند و زن,1.0
дифференсиалӣ,دیفیرینسئلی,دفیرینسیعلی,0.8181818181818181
қабил,قبیل,قبیل,1.0
назди мӯсо номи чӯбаш буд асо,نزد موسی نام چوبش بد عصا,نزد موسی نام چوبش بد عصا,1.0
нақш доштаанд,نقش داشته اند,نقش داشته‌اند,0.9230769230769231
саръзада,صرع‌زده,سرع‌زده,0.8571428571428572
дар соири таҳаввулот дар рӯзи душанбе,در سایر تحولات در روز دوشنبه,در سایر تحولات در روز دوشنبه,1.0
нофармонбардор,نا‌فرمانبردار,نافرمانبردار,0.96
ба салми бузург он гаҳе тур гуфт,به سلم بزرگ آنگهی تور گفت,به سلم بزرگ آنگهی تر گفت,0.9795918367346939
ҷабрайили сидқро фармуд рав,جبرئیل صدق را فرمود رو,جبرئیل سدق را فرمود رو,0.9545454545454546
нигаҳбон,نگهبان,نگهبان,1.0
заррае з-он офтоб орад паём,ذره‌ای زان آفتاب آرد پیام,زره‌ای زان آفتاب آرد پیام,0.96
сипаҳдор,سپهدار,سپه‌دار,0.9230769230769231
худованди кайҳону гардонсипеҳр,خداوند کیوان و گردان سپهر,خداوند کیهان و گردان سپهر,0.96
супоришнома,سپارشنامه,سپارش‌نامه,0.9473684210526316
бано бар ин мустанад дар ин мадрак ки торихи он ба июни,بنا بر این مستند در این مدرک که تاریخ آن به ژوئن,بنا براین مستند در این مدرک که تاریخ آن به ایون,0.9473684210526316
ба расми парастандагон донияш,به رسم پرستندگان دانی‌اش,به رسم پرستندگان دانیش,0.9565217391304348
кай равад он хӯву табъи мустатоб,کی رود آن خو و طبع مستطاب,کی رود آن خو و طبع مستطاب,1.0
гарева,گیری‌وه,گریوه,0.8333333333333334
қишри гуфтан чун фузун шуд мағз рафт,قشر گفتن چون فزون شد مغز رفت,قشر گفتن چون فزون شد مغز رفت,1.0
вошунидан,وا‌شنیدن,وا‌شنیدن,1.0
мабсут,مبسوط,مبسوت,0.8
ҳавасронӣ,هوسرانی,هوسرانی,1.0
аз ту дорад орзу ҳар муштаҳӣ,از تو دارد آرزو هر مشتهی,از تو دارد آرزو هر مشتهی,1.0
дарсади тавлиди нохолиси миллии ин кишвар - бидеҳкор аст,درصد تولید ناخالص ملی این کشور - بدهکار است,درصد تولید ناخالس ملی این کشور بدهکار است,0.9523809523809523
кошкӣ баҳрам равон будӣ дарун,کاشکی بحرم روان‌بودی درون,کاشکی بحرم روان‌بودی درون,1.0
то баҳонай қатл бар масҷид ниҳад,تا بهانهٔ قتل بر مسجد نهد,تا بهانهٔ قطل بر مسجد نهد,0.96
на ҷуз айб чизест к-он ту надорӣ,نه جز عیب چیزیست کان تو نداری,نه جز ایب چیزیست کان تو نداری,0.9655172413793104
алайҳи ӯ кайфархост содир кард,علیه او کیفر خواست صادر کرد,علیه او کیفرخاست سادر کرد,0.9230769230769231
дами нойи рӯйин зи маҳ баргузашт,دم نای رویین ز مه برگذشت,دم نای رویین ز مه برگذشت,1.0
гулӯбанд,گل‌وبند,گلوبند,0.9230769230769231
амрро бигрифт тираш ҳамчу намр,عمرو را بگرفت تیرش همچو نمر,امر را بگرفت تیرش همچو نمر,0.9433962264150944
забардастӣ,زبردستی,زبر‌دستی,0.9333333333333333
кафзанон буданд бе ин дасту по,کف‌زنان‌بودند بی‌این دست و پا,کف نان بدند بی‌این دست و پا,0.8928571428571429
бетағйир,بیت‌غییر,بیت‌غغیر,0.875
марди киштибону аҳли ройзан,مرد کشتیبان و اهل و رای‌زن,مرد کشتیبان و اهل و رای‌زن,1.0
гапгир,گپ‌گیر,گپ‌گیر,1.0
гӯшдарояк,گوشدرایک,گوش‌درایک,0.9411764705882353
чашм хобонид он дам аз ҳама,چشم خوابانید آن دم زان همه,چشم خوابانید آن دم از همه,0.9411764705882353
бад-он то алаф в-он чӣ ояд ба кор,بدان تا علف و آنچه آید به کار,بدان تا علف و آنچ آید به کار,0.9824561403508771
сипаҳдор бикшод аз он нома банд,سپهدار بگشاد از نامه بند,سپهدار بگشاد از آن نامه بند,0.9411764705882353
хонд аммо гуфт чунин интихоботе дар сурате ки ҳуқуқи,خواند اما گفت چنین انتخاباتی در صورتی که حقوق,خواند عما گفت چونین انتخاباتی در سورتی که حقوق,0.945054945054945
гуфт роҳи авсат арчи ҳикмат аст,گفت راه اوسط ارچه حکمتست,گفت راه اوصطر چه حکمتست,0.8936170212765957
домкрат,دام‌کرت,دام‌کرت,1.0
ақли зирак аблаҳиҳо мекунад,عقل زیرک ابلهیها می‌کند,عقل زرک ابلهیها می‌کند,0.9777777777777777
куф,کف,کوف,0.8
гӯшмол,گوش‌مال,گوش‌مال,1.0
гард аз дарё баровардам аён,گرد از دریا بر آوردم عیان,گرد از دریا بر آوردم عیان,1.0
гар равад сӯйи фано ин боз-боз,گر رود سوی فنا این باز باز,‌گر رود سوی فنا این باز باز,0.9811320754716981
қосидан он рӯз бевақт он марӯъ,قاصدا آن روز بی‌وقت آن مروع,قاصدا آن روز بی‌وقت آن مروع,1.0
шамъ чун дар нор шуд куллӣ фано,شمع چون در نار شد کلی فنا,شمع چون در نار شد کلی فنا,1.0
аз табибӣ ту ҳамин омӯхтӣ,از طبیبی تو همین آموختی,از طبیبی تو همین آموختی,1.0
дар синаи касе дили таҳамтан,در سینه کسی دل تهمتن,در سینه کسی دل تهم تن,0.975609756097561
иллюзия,ایلیوزیه,ایلیویهیه,0.8235294117647058
лағзанда,لغزنده,لغزنده,1.0
чароғдон,چراغ‌دان,چراغ‌دان,1.0
дилбурдагӣ,دل‌بردگی,دل‌بردگی,1.0
гурезона,گریزانه,گریزانه,1.0
бас ки зулмат буду торикӣ зи пеш,بس که ظلمت‌بود و تاریکی ز پیش,بس که زلمت بد و تاریکی ز پیش,0.9122807017543859
ногуворӣ,ناگواری,ناگواری,1.0
гар зи далқу пӯстин бигзаштаме,‌گر ز دلق و پوستین بگذشتمی,گر ز دلق و پوستین بگذشتمی,0.9803921568627451
бо ғариб аз қиссаи он лаб гушуд,با غریب از قصهٔ آن لب گشود,با غریب از قصهٔ آن لب گشود,1.0
подшоҳӣ кун бибахшаш эй раҳим,پادشاهی کن ببخشش‌ای رحیم,پادشاهی کن ببخشش‌ای رهیم,0.9583333333333334
шевагарӣ,شیوه‌گری,شیوه‌گری,1.0
рӯзидеҳ,روز‌یده,روزی‌ده,0.8571428571428572
дили бихрадон дошту мағзи радон,دل بخردان داشت و مغز ردان,دل بخردان داشت و مغز ردان,1.0
коҳи ҳастии туро шайдо кунанд,کاه هستی ترا شیدا کنند,کاه هستی ترا شیدا کنند,1.0
бодомзор,باد‌امزار,بادام‌زار,0.8888888888888888
гаравгузор,گروگذار,گرو‌گذار,0.9333333333333333
ӯ дар ин девонагӣ пинҳон шудаст,او درین دیوانگی پنهان شدست,او درین دیوانگی پنهان شدست,1.0
нигарон сӯи ҳаво аз қафаси маҷнунбед,نگران سوی هوا از قفس مجنون بید,نگران سوی هوا از قفس مجنونبید,0.9830508474576272
чаранду,چرند‌و,چرند‌و,1.0
бонг зад он шаҳ ки эй боди сабо,بانگ زد آن شه که‌ای باد صبا,بانگ زد آن شه که‌ای باد سبا,0.962962962962963
вориси ин ҷонҳои атқиёст,وارث این جانهای اتقیاست,وارث این جانهای اطقیاست,0.9565217391304348
чорпаҳлу,چار‌پهلو,چار‌پهلو,1.0
гурӯҳе шаман гирди ӯ анҷуман,گروهی شمن گرد او انجمن,گروهی شمن گرد او انجمن,1.0
баҳортар зи баҳорам миёни чиллаи дай,بهارتر ز بهارم میان چلّه ی دی,بهارتر ز بهارم میان چله دی,0.9454545454545454
камин кардану саффи кин сохтан,کمین کردن و صف کین ساختن,کمین کردن و سف کین ساختن,0.9583333333333334
уммол,عمال,امال,0.75
муртад,مرتد,مرتد,1.0
поймол,پایمال,پایمال,1.0
нахрес,ن‌خریس,نخ‌ریس,0.8333333333333334
гуфт алиҳно фӣ хавоиҷно илайк,گفت الهنا فی حوائجنا الیک,گفت الحنا فی خوایج‌نا الاک,0.8235294117647058
кӯчиданӣ,کوچی‌دنی,کوچیدنی,0.9333333333333333
кӣ донистӣ аз вай чунин хостан,که دانستی از وی چنین خواستن,که دانستی از وی چنین خواستن,1.0
ниҳоданд бар пояш аз зарр банд,نهادند بر پایش از زر بند,نهادند بر پایش از زر بند,1.0
карнамо,کرن‌ما,کر‌نما,0.8333333333333334
ситудаш фаровону бурдаш намоз,ستودش فراوان و بردش نماز,ستودش فراوان و بردش نماز,1.0
алайҳи ин марокиз иттихоз мекунанд,علیه این مراکز اتخاذ می‌کنند,الیه ان مراکز اتخاض می‌کنند,0.9090909090909091
ҳама бандашон шӯшаҳои гуҳар,همه بندشان شوشهای گهر,همه بندشان شوشه‌های گهر,0.9545454545454546
вомгирӣ,وامگیری,وام‌گیری,0.9333333333333333
восупорӣ,واسپاری,واسوپاری,0.9333333333333333
чун бибинад колае дар рибҳ беш,چون ببیند کاله‌ای در ربح بیش,چون ببیند کاله‌ای در ربح بیش,1.0
аз даруни шоҳ дар ҷонаш ҷиро,از درون شاه در جانش جری,از درون شاه در جانش جرا,0.9565217391304348
идроҷ,ادراج,ادراج,1.0
чун бигирӣ шаҳраҳе ки зулҷалол,چون بگیری شه‌رهی که ذوالجلال,چون بگیری شهره‌ای که ذوالجلال,0.9473684210526316
ботадриҷ,با‌تدریج,با‌تدریج,1.0
ними дигар моили ақлӣ бувад,نیم دیگر مایل عقلی بود,نیم دیگر مایل عقلی بود,1.0
